id,classificador,score_f1,precision,train_time,test_time,transacao
34,LogisticRegression-upsampled,0.54133064516129,0.383006038704769,13.8204689025879,0.0295975208282471,22/09/2020 20:43:26
35,LogisticRegression-Parcial,0.255872291904219,0.177027453455349,3.21141362190247,0.00505709648132324,22/09/2020 20:43:26
36,LogisticRegression-Sem Tratamento,0.642857142857143,0.602870813397129,1.26871418952942,0.00398874282836914,22/09/2020 20:43:26
37,SGD Classifier-upsampled,0.514462875954869,0.602870813397129,6.98312902450562,0.0239384174346924,22/09/2020 20:43:26
38,SGD Classifier - Tratamento Parcial,0.262922353994182,0.602870813397129,3.32517433166504,0.00901222229003906,22/09/2020 20:43:26
39,SGD Classifier - Sem Tratamento,0.259690790947793,0.602870813397129,2.93438911437988,0.00797820091247559,22/09/2020 20:43:26
40,Perceptron - upsampled,0.489830036221789,0.476888020833333,2.04972052574158,0.0149292945861816,22/09/2020 20:43:26
41,Perceptron-Tratamento Parcial,0.146464646464646,0.13880706921944,0.6303391456604,0.00598859786987305,22/09/2020 20:43:26
42,Perceptron - Sem Tratamento,0.524435318275154,0.51264552388599,0.299199342727661,0.00299239158630371,22/09/2020 20:43:26
43,RidgeClassifier - upsampled,0.57134743717166,0.751166697778607,2.58109712600708,0.0169522762298584,22/09/2020 20:43:26
44,RidgeClassifier - Tratamento Parcial,0.0352011494252874,0.139204545454545,0.742733955383301,0.00496125221252441,22/09/2020 20:43:26
45,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.261644601821899,0.00299286842346191,22/09/2020 20:43:26
46,KNeighborsClassifier,0.538927335640138,0.726813144079331,0.0441501140594482,14.1072270870209,22/09/2020 20:43:26
47,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.258383750915527,0.00299072265625,22/09/2020 20:43:26
48,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.369215726852417,0.00982546806335449,22/09/2020 20:43:26
49,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.455280303955078,0.00976753234863281,22/09/2020 20:43:26
50,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.380570411682129,0.0,22/09/2020 20:43:26
51,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.296551465988159,0.00498723983764648,22/09/2020 20:43:26
52,KNeighborsClassifier,0.538927335640138,0.726813144079331,0.0639877319335937,17.6712689399719,22/09/2020 20:43:26
53,KNeighborsClassifier - Tratamento Parcial,0.00163934426229508,0.25,0.0169529914855957,3.08812355995178,22/09/2020 20:43:26
54,KNeighborsClassifier - Tratamento Parcial,0.433187772925764,0.704545454545455,0.00498628616333008,0.549558162689209,22/09/2020 20:43:26
55,PassiveAggressiveClassifier,0.597054886211513,0.606838618078561,1.88837599754333,0.0104701519012451,22/09/2020 20:43:26
56,VotingClassifier,0.597960279119699,0.623662602637472,2.14529776573181,0.0202925205230713,22/09/2020 20:43:26
57,PassiveAggressiveClassifier,0.0446793177996637,0.0537261698440208,0.701109170913696,0.014554500579834,22/09/2020 20:43:26
58,PassiveAggressiveClassifier,0.593751881057003,0.625570776255708,2.36547064781189,0.00993037223815918,22/09/2020 20:43:26
59,PassiveAggressiveClassifier - - Tratamento Parcial,0.0410795318844041,0.049002849002849,0.705953359603882,0.0,22/09/2020 20:43:26
60,VotingClassifier,0.596201386795297,0.629327902240326,2.11481404304504,0.0201759338378906,22/09/2020 20:43:26
61,VotingClassifier,0.594131143581693,0.628111834546151,1.82173776626587,0.0206432342529297,22/09/2020 20:43:26
62,VotingClassifier - tratamento parcial,0.0468372766779334,0.0567251461988304,0.431379795074463,0.00853157043457031,22/09/2020 20:43:26
63,VotingClassifier - sem tratamento,0.563965170797053,0.601428571428571,0.179552316665649,0.00448322296142578,22/09/2020 20:43:26
64,ExtraTreesClassifier - upsampled,0.599815765232267,0.70459112691297,201.519667625427,0.243650674819946,22/09/2020 20:43:26
65,ExtraTreesClassifier - tratamento parcial,0.0120156203063983,0.0222965440356745,65.7343780994415,0.0708215236663818,22/09/2020 20:43:26
66,ExtraTreesClassifier - sem tratamento,0.41011578305911,0.745293466223699,1.67349696159363,0.0302820205688477,22/09/2020 20:43:26
67,AdaBoostClassifier - upsampled,0.480884109916368,0.690542569161484,170.11806678772,4.71730375289917,22/09/2020 20:43:26
68,AdaBoostClassifier - tratamento parcial,0.102661596958175,0.223756906077348,77.2693490982056,1.87004208564758,22/09/2020 20:43:26
69,LogisticRegression-upsampled,0.54133064516129,0.383006038704769,10.5040168762207,0.0229430198669434,23/09/2020 18:27:57
70,LogisticRegression-Parcial,0.255872291904219,0.177027453455349,2.85732555389404,0.00897455215454102,23/09/2020 18:27:57
71,LogisticRegression-Sem Tratamento,0.642857142857143,0.602870813397129,1.02426099777222,0.00299263000488281,23/09/2020 18:27:57
72,SGD Classifier-upsampled,0.513168803010012,0.602870813397129,5.87818312644958,0.0169568061828613,23/09/2020 18:27:57
73,SGD Classifier - Tratamento Parcial,0.263063867798124,0.602870813397129,2.38864827156067,0.00597500801086426,23/09/2020 18:27:57
74,SGD Classifier - Sem Tratamento,0.259757738896366,0.602870813397129,2.47238564491272,0.00598406791687012,23/09/2020 18:27:57
75,Perceptron - upsampled,0.489830036221789,0.476888020833333,2.20912671089172,0.0139260292053223,23/09/2020 18:27:57
76,Perceptron-Tratamento Parcial,0.146464646464646,0.13880706921944,0.736077547073364,0.00493907928466797,23/09/2020 18:27:57
77,Perceptron - Sem Tratamento,0.524435318275154,0.51264552388599,0.33613133430481,0.00398826599121094,23/09/2020 18:27:57
78,RidgeClassifier - upsampled,0.57134743717166,0.751166697778607,3.05885291099548,0.020951509475708,23/09/2020 18:27:57
79,RidgeClassifier - Tratamento Parcial,0.0352011494252874,0.139204545454545,0.904537200927734,0.00997400283813477,23/09/2020 18:27:57
80,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.320100784301758,0.00398635864257812,23/09/2020 18:27:57
81,KNeighborsClassifier,0.538927335640138,0.726813144079331,0.0399017333984375,15.0859389305115,23/09/2020 18:27:57
82,KNeighborsClassifier - Tratamento Parcial,0.00163934426229508,0.25,0.0139691829681396,2.25897169113159,23/09/2020 18:27:57
83,KNeighborsClassifier - Tratamento Parcial,0.433187772925764,0.704545454545455,0.010969877243042,0.724090576171875,23/09/2020 18:27:57
84,PassiveAggressiveClassifier - upsampled,0.59143827310211,0.628236506505217,1.60171723365784,0.0139634609222412,23/09/2020 18:27:57
85,PassiveAggressiveClassifier - - Tratamento Parcial,0.0465807730426165,0.0586034912718204,0.712097883224487,0.00598239898681641,23/09/2020 18:27:57
86,VotingClassifier - upsampled,0.595013517572845,0.625568468923699,1.7164134979248,0.0139672756195068,23/09/2020 18:27:57
87,VotingClassifier - tratamento parcial,0.0496647628507574,0.0626959247648903,0.50269627571106,0.00494527816772461,23/09/2020 18:27:57
88,VotingClassifier - sem tratamento,0.568680089485459,0.607843137254902,0.175572395324707,0.00394821166992187,23/09/2020 18:27:57
89,ExtraTreesClassifier - upsampled,0.6,0.704682429299954,229.675311326981,0.306514501571655,23/09/2020 18:27:57
90,ExtraTreesClassifier - tratamento parcial,0.0108173076923077,0.0200892857142857,78.1492314338684,0.0768084526062012,23/09/2020 18:27:57
91,ExtraTreesClassifier - sem tratamento,0.387431360585723,0.706340378197998,1.81514811515808,0.033907413482666,23/09/2020 18:27:57
92,AdaBoostClassifier - upsampled,0.480884109916368,0.690542569161484,198.378576517105,5.36165976524353,23/09/2020 18:27:57
93,AdaBoostClassifier - tratamento parcial,0.102629078238834,0.223448275862069,87.6696221828461,1.81614518165588,23/09/2020 18:27:57
94,AdaBoostClassifier - sem tratamento,0.52819414703783,0.608552631578947,26.8676204681396,1.06143975257874,23/09/2020 18:27:57
